"","","",""
"0-0-1-149-258-1599-1","0","0","0"
"0-0-1-149-258-255-1","0","0","0"
"0-0-0-141-258-1458-1","0","0","0"
"0-0-5-152-258-834-1","0","0","0"
"0-0-1-139-258-6-1","0","0","0"
"0-0-9-150-258-2064-1","0","0","0"
"0-0-0-147-258-2634-1","0","0","0"
"0-0-1-145-258-1542-1","0","0","0"
"0-0-2-149-258-14-1","0","0","0"
"0-0-10-149-258-42-1","0","0","0"
"0-0-0-147-258-6827-1","0","0","0"
"0-0-1-150-258-2920-1","0","0","0"
"0-0-10-154-258-75-1","0","0","0"
"0-0-0-150-258-2351-1","0","0","0"
"0-0-1-151-258-1511-1","0","0","0"
"0-0-2-148-258-3066-1","0","0","0"
"0-0-0-147-258-1796-1","0","0","0"
"0-0-7-153-258-704-1","0","0","0"
"0-0-0-149-258-484-1","0","0","0"
"0-0-0-147-258-5989-1","0","0","0"
"0-0-0-144-258-6350-1","0","0","0"
"0-0-1-145-258-93-1","0","0","0"
"0-0-0-148-258-2408-1","0","0","0"
"0-0-1-148-258-195-1","0","0","0"
"0-0-1-149-258-375-1","0","0","0"
"0-0-0-148-258-3080-1","0","0","0"
"0-0-0-144-258-3340-1","0","0","0"
"0-0-0-141-258-1578-1","0","0","0"
"0-0-1-143-258-2339-1","0","0","0"
"0-0-7-153-258-3605-1","0","0","0"
"0-0-0-143-258-934-1","0","0","0"
"0-0-8-152-258-1104-1","0","0","0"
"0-0-0-147-258-2754-1","0","0","0"
"0-0-1-145-258-1662-1","0","0","0"
"0-0-0-145-258-1093-1","0","0","0"
"0-0-1-148-258-1914-1","0","0","0"
"0-0-0-150-258-2471-1","0","0","0"
"0-0-0-148-258-5538-1","0","0","0"
"0-0-7-152-258-644-1","0","0","0"
"0-0-1-151-258-1631-1","0","0","0"
"0-0-0-151-258-1062-1","0","0","0"
"0-0-1-149-258-2677-1","0","0","0"
"0-0-7-148-258-1072-1","0","0","0"
"0-0-3-149-258-2346-1","0","0","0"
"0-0-0-152-258-303-1","0","0","0"
"0-0-10-153-258-4669-1","0","0","0"
"0-0-1-149-258-495-1","0","0","0"
"0-0-0-149-258-1119-1","0","0","0"
"0-0-1-150-258-7039-1","0","0","0"
"0-0-7-151-258-2064-1","0","0","0"
"0-0-0-145-258-2051-1","0","0","0"
"0-0-1-141-258-585-1","0","0","0"
"0-0-0-139-258-3265-1","0","0","0"
"0-0-4-150-258-78-1","0","0","0"
"0-0-0-150-258-1919-1","0","0","0"
"0-0-0-147-258-2874-1","0","0","0"
"0-0-0-151-258-2020-1","0","0","0"
"0-0-1-151-258-4761-1","0","0","0"
"0-0-1-150-258-1019-1","0","0","0"
"0-0-3-149-258-3304-1","0","0","0"
"0-0-0-146-258-125-1","0","0","0"
"0-0-7-154-258-1478-1","0","0","0"
"0-0-4-147-258-2212-1","0","0","0"
"0-0-0-150-258-2591-1","0","0","0"
"0-0-6-149-258-3693-1","0","0","0"
"0-0-1-151-258-77-1","0","0","0"
"0-0-1-152-258-3352-1","0","0","0"
"0-0-0-147-258-305-1","0","0","0"
"0-0-7-152-258-764-1","0","0","0"
"0-0-0-151-258-1182-1","0","0","0"
"0-0-6-147-258-57-1","0","0","0"
"0-0-0-141-258-2656-1","0","0","0"
"0-0-0-147-258-10416-1","0","0","0"
"0-0-1-146-258-3-1","0","0","0"
"0-0-12-147-258-4489-1","0","0","0"
"0-0-0-148-258-2648-1","0","0","0"
"0-0-0-149-258-1239-1","0","0","0"
"0-0-8-152-258-4354-1","0","0","0"
"0-0-3-153-258-89-1","0","0","0"
"0-0-1-146-258-4341-1","0","0","0"
"0-0-1-151-258-134-1","0","0","0"
"0-0-1-145-258-2740-1","0","0","0"
"0-0-0-145-258-2171-1","0","0","0"
"0-0-1-151-258-7891-1","0","0","0"
"0-0-1-152-258-314-1","0","0","0"
"0-0-8-149-258-69-1","0","0","0"
"0-0-0-148-258-6616-1","0","0","0"
"0-0-0-147-258-2994-1","0","0","0"
"0-0-0-151-258-2140-1","0","0","0"
"0-0-20-155-258-37-1","0","0","0"
"0-0-1-150-258-1139-1","0","0","0"
"0-0-1-147-258-2094-1","0","0","0"
"0-0-0-146-258-245-1","0","0","0"
"0-0-0-141-258-3614-1","0","0","0"
"0-0-1-152-258-1300-1","0","0","0"
"0-0-1-152-258-3472-1","0","0","0"
"0-0-0-147-258-425-1","0","0","0"
"0-0-0-148-258-3606-1","0","0","0"
"0-0-0-148-258-5778-1","0","0","0"
"0-0-1-151-258-1871-1","0","0","0"
"0-0-1-153-258-2063-1","0","0","0"
"0-0-0-149-258-4369-1","0","0","0"
"0-0-0-148-258-2768-1","0","0","0"
"0-0-7-150-258-2-1","0","0","0"
"0-0-0-152-258-543-1","0","0","0"
"0-0-1-144-258-2128-1","0","0","0"
"0-0-0-149-258-1359-1","0","0","0"
"0-0-0-145-258-1619-1","0","0","0"
"0-0-0-141-258-9754-1","0","0","0"
"0-0-1-151-258-254-1","0","0","0"
"0-0-1-145-258-2860-1","0","0","0"
"0-0-0-145-258-2291-1","0","0","0"
"0-0-1-152-258-434-1","0","0","0"
"0-0-1-149-258-6885-1","0","0","0"
"0-0-0-149-258-8337-1","0","0","0"
"0-0-1-146-258-1451-1","0","0","0"
"0-0-1-149-258-1703-1","0","0","0"
"0-0-0-151-258-2260-1","0","0","0"
"0-0-0-145-258-185-1","0","0","0"
"0-0-1-150-258-1259-1","0","0","0"
"0-0-0-146-258-365-1","0","0","0"
"0-0-6-152-258-2978-1","0","0","0"
"0-0-5-149-258-1192-1","0","0","0"
"0-0-1-139-258-930-1","0","0","0"
"0-0-0-147-258-545-1","0","0","0"
"0-0-0-148-258-3726-1","0","0","0"
"0-0-1-151-258-1991-1","0","0","0"
"0-0-0-149-258-2317-1","0","0","0"
"0-0-3-152-258-124-1","0","0","0"
"0-0-1-144-258-5258-1","0","0","0"
"0-0-1-148-258-69-1","0","0","0"
"0-0-0-140-258-815-1","0","0","0"
"0-0-0-149-258-1479-1","0","0","0"
"0-0-1-150-258-194-1","0","0","0"
"0-0-0-147-258-1900-1","0","0","0"
"0-0-8-153-258-43-1","0","0","0"
"0-0-1-151-258-374-1","0","0","0"
"0-0-0-151-258-5390-1","0","0","0"
"0-0-1-150-258-2217-1","0","0","0"
"0-0-1-152-258-554-1","0","0","0"
"0-0-1-149-258-1823-1","0","0","0"
"0-0-0-151-258-2380-1","0","0","0"
"0-0-1-150-258-1379-1","0","0","0"
"0-0-7-150-258-705-1","0","0","0"
"0-0-0-146-258-485-1","0","0","0"
"0-0-0-147-258-665-1","0","0","0"
"0-0-0-148-258-3846-1","0","0","0"
"0-0-0-149-258-70-1","0","0","0"
"0-0-9-145-258-3082-1","0","0","0"
"0-0-0-149-258-2437-1","0","0","0"
"0-0-1-147-258-7140-1","0","0","0"
"0-0-1-143-258-1605-1","0","0","0"
"0-0-0-143-258-1036-1","0","0","0"
"0-0-0-152-258-783-1","0","0","0"
"0-0-7-150-258-1781-1","0","0","0"
"0-0-4-150-258-3564-1","0","0","0"
"0-0-0-143-258-61-1","0","0","0"
"0-0-0-149-258-1599-1","0","0","0"
"0-0-1-151-258-494-1","0","0","0"
"0-0-7-150-258-45-1","0","0","0"
"0-0-0-152-258-3429-1","0","0","0"
"0-0-1-152-258-674-1","0","0","0"
"0-0-1-147-258-3292-1","0","0","0"
"0-0-0-151-258-1828-1","0","0","0"
"0-0-1-146-258-1691-1","0","0","0"
"0-0-0-148-258-4804-1","0","0","0"
"0-0-3-147-258-246-1","0","0","0"
"0-0-1-149-258-1943-1","0","0","0"
"0-0-1-150-258-1499-1","0","0","0"
"0-0-0-152-258-1091-1","0","0","0"
"0-0-0-147-258-785-1","0","0","0"
"0-0-0-146-258-4418-1","0","0","0"
"0-0-1-144-258-3326-1","0","0","0"
"0-0-3-152-258-364-1","0","0","0"
"0-0-10-151-258-2274-1","0","0","0"
"0-0-1-147-258-7260-1","0","0","0"
"0-0-0-145-258-2817-1","0","0","0"
"0-0-1-143-258-1725-1","0","0","0"
"0-0-0-143-258-1156-1","0","0","0"
"0-0-1-143-258-3897-1","0","0","0"
"0-0-0-147-258-3009-1","0","0","0"
"0-0-7-151-258-1330-1","0","0","0"
"0-0-0-146-258-5090-1","0","0","0"
"0-0-6-148-258-23-1","0","0","0"
"0-0-0-146-258-1408-1","0","0","0"
"0-0-1-144-258-2488-1","0","0","0"
"0-0-0-145-258-1979-1","0","0","0"
"0-0-0-141-258-7942-1","0","0","0"
"0-0-10-154-258-1688-1","0","0","0"
"0-0-1-145-258-1079-1","0","0","0"
"0-0-6-153-258-3605-1","0","0","0"
"0-0-1-151-258-4058-1","0","0","0"
"0-0-1-152-258-794-1","0","0","0"
"0-0-0-151-258-1948-1","0","0","0"
"0-0-1-151-258-1048-1","0","0","0"
"0-0-1-153-258-3381-1","0","0","0"
"0-0-1-152-258-1780-1","0","0","0"
"0-0-0-148-258-1914-1","0","0","0"
"0-0-0-143-258-2114-1","0","0","0"
"0-0-1-141-258-1022-1","0","0","0"
"0-0-1-144-258-105-1","0","0","0"
"0-0-1-143-258-1845-1","0","0","0"
"0-0-0-150-258-604-1","0","0","0"
"0-0-0-143-258-1276-1","0","0","0"
"0-0-0-146-258-1528-1","0","0","0"
"0-0-1-150-258-3415-1","0","0","0"
"0-0-1-147-258-1360-1","0","0","0"
"0-0-6-151-258-2064-1","0","0","0"
"0-0-1-150-258-2577-1","0","0","0"
"0-0-2-151-258-57-1","0","0","0"
"0-0-2-149-258-955-1","0","0","0"
"0-0-10-151-258-785-1","0","0","0"
"0-0-1-151-258-1168-1","0","0","0"
"0-0-1-141-258-4152-1","0","0","0"
"0-0-6-153-258-2887-1","0","0","0"
"0-0-7-147-258-37-1","0","0","0"
"0-0-7-151-258-3908-1","0","0","0"
"0-0-6-153-258-245-1","0","0","0"
"0-0-1-144-258-225-1","0","0","0"
"0-0-7-146-258-810-1","0","0","0"
"0-0-4-148-258-36-1","0","0","0"
"0-0-1-145-258-405-1","0","0","0"
"0-0-0-149-258-2797-1","0","0","0"
"0-0-1-147-258-3818-1","0","0","0"
"0-0-0-150-258-724-1","0","0","0"
"0-0-0-143-258-1396-1","0","0","0"
"0-0-7-151-258-1570-1","0","0","0"
"0-0-1-153-258-8969-1","0","0","0"
"0-0-0-151-258-904-1","0","0","0"
"0-0-0-146-258-1648-1","0","0","0"
"0-0-1-149-258-35-1","0","0","0"
"0-0-1-150-258-3535-1","0","0","0"
"0-0-1-151-258-2126-1","0","0","0"
"0-0-1-147-258-1480-1","0","0","0"
"0-0-1-143-258-26-1","0","0","0"
"0-0-5-152-258-1675-1","0","0","0"
"0-0-0-149-258-6765-1","0","0","0"
"0-0-1-151-258-1288-1","0","0","0"
"0-0-1-141-258-4272-1","0","0","0"
"0-0-0-146-258-5616-1","0","0","0"
"0-0-1-144-258-4524-1","0","0","0"
"0-0-0-149-258-3755-1","0","0","0"
"0-0-20-151-258-96-1","0","0","0"
"0-0-0-143-258-2354-1","0","0","0"
"0-0-1-141-258-1262-1","0","0","0"
"0-0-1-144-258-345-1","0","0","0"
"0-0-0-146-258-2606-1","0","0","0"
"0-0-1-145-258-525-1","0","0","0"
"0-0-6-149-258-110-1","0","0","0"
"0-0-1-146-258-705-1","0","0","0"
"0-0-0-150-258-844-1","0","0","0"
"0-0-1-145-258-2277-1","0","0","0"
"0-0-1-151-258-5256-1","0","0","0"
"0-0-0-146-258-1768-1","0","0","0"
"0-0-12-152-258-775-1","0","0","0"
"0-0-0-152-258-4747-1","0","0","0"
"0-0-1-148-258-2529-1","0","0","0"
"0-0-0-150-258-3086-1","0","0","0"
"0-0-0-146-258-37-1","0","0","0"
"0-0-0-149-258-7723-1","0","0","0"
"0-0-0-153-258-3338-1","0","0","0"
"0-0-7-151-258-11-1","0","0","0"
"0-0-2-151-258-714-1","0","0","0"
"0-0-4-150-258-3-1","0","0","0"
"0-0-0-149-258-1703-1","0","0","0"
"0-0-0-149-258-3875-1","0","0","0"
"0-0-4-152-258-10-1","0","0","0"
"0-0-1-148-258-9-1","0","0","0"
"0-0-9-151-258-3817-1","0","0","0"
"0-0-1-141-258-1382-1","0","0","0"
"0-0-1-144-258-1634-1","0","0","0"
"0-0-7-150-258-1078-1","0","0","0"
"0-0-1-150-258-4613-1","0","0","0"
"0-0-0-144-258-1065-1","0","0","0"
"0-0-0-150-258-4044-1","0","0","0"
"0-0-1-146-258-825-1","0","0","0"
"0-0-0-147-258-1317-1","0","0","0"
"0-0-0-150-258-964-1","0","0","0"
"0-0-1-150-258-1603-1","0","0","0"
"0-0-0-150-258-1034-1","0","0","0"
"0-0-1-150-258-3775-1","0","0","0"
"0-0-0-139-258-576-1","0","0","0"
"0-0-0-147-258-4010-1","0","0","0"
"0-0-7-149-258-1867-1","0","0","0"
"0-0-0-144-258-5033-1","0","0","0"
"0-0-0-145-258-11204-1","0","0","0"
"0-0-0-149-258-1823-1","0","0","0"
"0-0-0-144-258-2023-1","0","0","0"
"0-0-0-149-258-3995-1","0","0","0"
"0-0-1-145-258-3355-1","0","0","0"
"0-0-7-152-258-8-1","0","0","0"
"0-0-1-151-258-6334-1","0","0","0"
"0-0-1-149-258-5208-1","0","0","0"
"0-0-1-144-258-585-1","0","0","0"
"0-0-1-144-258-1754-1","0","0","0"
"0-0-1-148-258-3607-1","0","0","0"
"0-0-1-145-258-765-1","0","0","0"
"0-0-0-144-258-1185-1","0","0","0"
"0-0-6-149-258-350-1","0","0","0"
"0-0-0-147-258-1437-1","0","0","0"
"0-0-0-150-258-11-1","0","0","0"
"0-0-1-151-258-3324-1","0","0","0"
"0-0-0-149-258-125-1","0","0","0"
"0-0-0-150-258-1154-1","0","0","0"
"0-0-1-148-258-2769-1","0","0","0"
"0-0-0-152-258-1977-1","0","0","0"
"0-0-5-151-258-415-1","0","0","0"
"0-0-0-141-258-1219-1","0","0","0"
"0-0-0-149-258-4953-1","0","0","0"
"0-0-0-144-258-5153-1","0","0","0"
"0-0-1-152-258-1077-1","0","0","0"
"0-0-2-152-258-23-1","0","0","0"
"0-0-10-152-258-51-1","0","0","0"
"0-0-9-153-258-186-1","0","0","0"
"0-0-1-141-258-106-1","0","0","0"
"0-0-0-149-258-1943-1","0","0","0"
"0-0-1-150-258-7863-1","0","0","0"
"0-0-1-145-258-1303-1","0","0","0"
"0-0-0-146-258-2966-1","0","0","0"
"0-0-0-150-258-2112-1","0","0","0"
"0-0-1-144-258-1874-1","0","0","0"
"0-0-0-150-258-4284-1","0","0","0"
"0-0-1-148-258-5899-1","0","0","0"
"0-0-0-147-258-7260-1","0","0","0"
"0-0-0-147-258-1557-1","0","0","0"
"0-0-1-149-258-2318-1","0","0","0"
"0-0-0-149-258-245-1","0","0","0"
"0-0-1-150-258-1843-1","0","0","0"
"0-0-0-150-258-1274-1","0","0","0"
"0-0-1-141-258-4918-1","0","0","0"
"0-0-1-152-258-2035-1","0","0","0"
"0-0-0-143-258-6682-1","0","0","0"
"0-0-1-149-258-136-1","0","0","0"
"0-0-4-149-258-1718-1","0","0","0"
"0-0-1-141-258-1908-1","0","0","0"
"0-0-0-146-258-6934-1","0","0","0"
"0-0-0-149-258-2901-1","0","0","0"
"0-0-0-144-258-3101-1","0","0","0"
"0-0-0-141-258-1339-1","0","0","0"
"0-0-1-152-258-1197-1","0","0","0"
"0-0-0-147-258-9718-1","0","0","0"
"0-0-1-146-258-3024-1","0","0","0"
"0-0-0-147-258-2515-1","0","0","0"
"0-0-0-148-258-8309-1","0","0","0"
"0-0-0-141-258-110-1","0","0","0"
"0-0-1-150-258-2801-1","0","0","0"
"0-0-5-147-258-93-1","0","0","0"
"0-0-1-144-258-1994-1","0","0","0"
"0-0-1-148-258-3847-1","0","0","0"
"0-0-4-152-258-1210-1","0","0","0"
"0-0-8-152-258-2199-1","0","0","0"
"0-0-0-140-258-71-1","0","0","0"
"0-0-0-140-258-3706-1","0","0","0"
"0-0-0-147-258-1677-1","0","0","0"
"0-0-0-148-258-185-1","0","0","0"
"0-0-4-151-258-1781-1","0","0","0"
"0-0-0-149-258-365-1","0","0","0"
"0-0-1-150-258-1963-1","0","0","0"
"0-0-0-150-258-1394-1","0","0","0"
"0-0-1-149-258-256-1","0","0","0"
"0-0-0-144-258-3221-1","0","0","0"
"0-0-1-144-258-5962-1","0","0","0"
"0-0-5-152-258-835-1","0","0","0"
"0-0-0-143-258-815-1","0","0","0"
"0-0-0-143-258-3792-1","0","0","0"
"0-0-1-144-258-2952-1","0","0","0"
"0-0-1-139-258-7-1","0","0","0"
"0-0-0-144-258-2383-1","0","0","0"
"0-0-7-153-258-2648-1","0","0","0"
"0-0-0-148-258-8429-1","0","0","0"
"0-0-1-145-258-1543-1","0","0","0"
"0-0-0-141-258-230-1","0","0","0"
"0-0-2-149-258-15-1","0","0","0"
"0-0-1-150-258-2921-1","0","0","0"
"0-0-10-154-258-76-1","0","0","0"
"0-0-1-148-258-3967-1","0","0","0"
"0-0-1-152-258-3113-1","0","0","0"
"0-0-1-152-258-5285-1","0","0","0"
"0-0-0-147-258-1797-1","0","0","0"
"0-0-9-153-258-1479-1","0","0","0"
"0-0-0-149-258-485-1","0","0","0"
"0-0-0-141-258-2417-1","0","0","0"
"0-0-1-145-258-94-1","0","0","0"
"0-0-0-148-258-2409-1","0","0","0"
"0-0-0-147-258-4490-1","0","0","0"
"0-0-1-148-258-196-1","0","0","0"
"0-0-7-151-258-120-1","0","0","0"
"0-0-1-149-258-376-1","0","0","0"
"0-0-4-149-258-1958-1","0","0","0"
"0-0-8-152-258-78-1","0","0","0"
"0-0-0-148-258-3081-1","0","0","0"
"0-0-0-143-258-935-1","0","0","0"
"0-0-1-141-258-466-1","0","0","0"
"0-0-0-139-258-3146-1","0","0","0"
"0-0-0-140-258-170-1","0","0","0"
"0-0-0-147-258-2755-1","0","0","0"
"0-0-1-143-258-826-1","0","0","0"
"0-0-0-141-258-350-1","0","0","0"
"0-0-0-145-258-1094-1","0","0","0"
"0-0-1-148-258-1915-1","0","0","0"
"0-0-0-150-258-2472-1","0","0","0"
"0-0-2-148-258-1015-1","0","0","0"
"0-0-0-148-258-5539-1","0","0","0"
"0-0-1-151-258-1632-1","0","0","0"
"0-0-0-151-258-1063-1","0","0","0"
"0-0-1-149-258-2678-1","0","0","0"
"0-0-7-148-258-1073-1","0","0","0"
"0-0-0-148-258-2529-1","0","0","0"
"0-0-0-143-258-4870-1","0","0","0"
"0-0-1-145-258-5631-1","0","0","0"
"0-0-0-145-258-5062-1","0","0","0"
"0-0-8-153-258-716-1","0","0","0"
"0-0-7-151-258-240-1","0","0","0"
"0-0-1-149-258-496-1","0","0","0"
"0-0-0-144-258-3461-1","0","0","0"
"0-0-1-152-258-7201-1","0","0","0"
"0-0-7-153-258-3726-1","0","0","0"
"0-0-0-143-258-1860-1","0","0","0"
"0-0-0-145-258-2052-1","0","0","0"
"0-0-0-150-258-3430-1","0","0","0"
"0-0-12-153-258-1329-1","0","0","0"
"0-0-0-147-258-2875-1","0","0","0"
"0-0-0-151-258-2021-1","0","0","0"
"0-0-0-141-258-470-1","0","0","0"
"0-0-0-151-258-4193-1","0","0","0"
"0-0-0-146-258-126-1","0","0","0"
"0-0-0-150-258-2592-1","0","0","0"
"0-0-1-151-258-78-1","0","0","0"
"0-0-0-147-258-306-1","0","0","0"
"0-0-1-151-258-1752-1","0","0","0"
"0-0-0-151-258-1183-1","0","0","0"
"0-0-1-146-258-4-1","0","0","0"
"0-0-0-148-258-2649-1","0","0","0"
"0-0-0-144-258-2909-1","0","0","0"
"0-0-7-150-258-180-1","0","0","0"
"0-0-0-152-258-424-1","0","0","0"
"0-0-0-145-258-5182-1","0","0","0"
"0-0-0-143-258-1980-1","0","0","0"
"0-0-0-147-258-3833-1","0","0","0"
"0-0-1-151-258-135-1","0","0","0"
"0-0-1-145-258-2741-1","0","0","0"
"0-0-2-150-258-2698-1","0","0","0"
"0-0-0-145-258-2172-1","0","0","0"
"0-0-1-143-258-1080-1","0","0","0"
"0-0-1-146-258-1332-1","0","0","0"
"0-0-1-151-258-2710-1","0","0","0"
"0-0-0-151-258-2141-1","0","0","0"
"0-0-0-141-258-590-1","0","0","0"
"0-0-1-151-258-4882-1","0","0","0"
"0-0-1-147-258-2095-1","0","0","0"
"0-0-0-146-258-246-1","0","0","0"
"0-0-0-149-258-5208-1","0","0","0"
"0-0-1-152-258-1301-1","0","0","0"
"0-0-0-147-258-426-1","0","0","0"
"0-0-0-148-258-3607-1","0","0","0"
"0-0-7-152-258-885-1","0","0","0"
"0-0-1-151-258-1872-1","0","0","0"
"0-0-9-153-258-410-1","0","0","0"
"0-0-2-149-258-190-1","0","0","0"
"0-0-7-150-258-4552-1","0","0","0"
"0-0-0-141-258-2777-1","0","0","0"
"0-0-0-148-258-2769-1","0","0","0"
"0-0-7-150-258-3-1","0","0","0"
"0-0-0-152-258-544-1","0","0","0"
"0-0-1-144-258-2129-1","0","0","0"
"0-0-0-151-258-8281-1","0","0","0"
"0-0-7-151-258-480-1","0","0","0"
"0-0-7-153-258-3966-1","0","0","0"
"0-0-1-151-258-255-1","0","0","0"
"0-0-1-151-258-5840-1","0","0","0"
"0-0-3-152-258-1407-1","0","0","0"
"0-0-1-152-258-435-1","0","0","0"
"0-0-1-147-258-3053-1","0","0","0"
"0-0-1-146-258-1452-1","0","0","0"
"0-0-1-152-258-4431-1","0","0","0"
"0-0-9-150-258-33-1","0","0","0"
"0-0-5-151-258-1647-1","0","0","0"
"0-0-1-151-258-2830-1","0","0","0"
"0-0-1-149-258-1704-1","0","0","0"
"0-0-6-153-258-2408-1","0","0","0"
"0-0-0-151-258-2261-1","0","0","0"
"0-0-0-145-258-186-1","0","0","0"
"0-0-0-146-258-366-1","0","0","0"
"0-0-0-149-258-5328-1","0","0","0"
"0-0-0-141-258-3735-1","0","0","0"
"0-0-1-152-258-1421-1","0","0","0"
"0-0-0-147-258-546-1","0","0","0"
"0-0-0-148-258-3727-1","0","0","0"
"0-0-10-155-258-42-1","0","0","0"
"0-0-1-151-258-1992-1","0","0","0"
"0-0-7-151-258-6273-1","0","0","0"
"0-0-0-149-258-2318-1","0","0","0"
"0-0-0-148-258-2889-1","0","0","0"
"0-0-7-149-258-930-1","0","0","0"
"0-0-1-146-258-60-1","0","0","0"
"0-0-0-152-258-664-1","0","0","0"
"0-0-1-144-258-2249-1","0","0","0"
"0-0-1-150-258-5228-1","0","0","0"
"0-0-0-153-258-844-1","0","0","0"
"0-0-1-150-258-195-1","0","0","0"
"0-0-0-147-258-1901-1","0","0","0"
"0-0-8-153-258-44-1","0","0","0"
"0-0-5-151-258-4777-1","0","0","0"
"0-0-1-151-258-375-1","0","0","0"
"0-0-1-145-258-2981-1","0","0","0"
"0-0-1-147-258-1001-1","0","0","0"
"0-0-1-150-258-2218-1","0","0","0"
"0-0-0-139-258-1454-1","0","0","0"
"0-0-1-147-258-3173-1","0","0","0"
"0-0-0-151-258-1709-1","0","0","0"
"0-0-2-151-258-5060-1","0","0","0"
"0-0-1-147-258-120-1","0","0","0"
"0-0-1-146-258-1572-1","0","0","0"
"0-0-1-148-258-300-1","0","0","0"
"0-0-1-149-258-1824-1","0","0","0"
"0-0-0-151-258-2381-1","0","0","0"
"0-0-7-150-258-706-1","0","0","0"
"0-0-0-146-258-486-1","0","0","0"
"0-0-1-152-258-1541-1","0","0","0"
"0-0-0-147-258-666-1","0","0","0"
"0-0-0-148-258-3847-1","0","0","0"
"0-0-9-153-258-650-1","0","0","0"
"0-0-0-149-258-71-1","0","0","0"
"0-0-1-147-258-7141-1","0","0","0"
"0-0-1-143-258-1606-1","0","0","0"
"0-0-0-143-258-1037-1","0","0","0"
"0-0-7-151-258-1211-1","0","0","0"
"0-0-7-151-258-3383-1","0","0","0"
"0-0-0-140-258-936-1","0","0","0"
"0-0-0-145-258-3370-1","0","0","0"
"0-0-0-152-258-784-1","0","0","0"
"0-0-0-143-258-62-1","0","0","0"
"0-0-1-146-258-2530-1","0","0","0"
"0-0-9-153-258-1703-1","0","0","0"
"0-0-1-151-258-495-1","0","0","0"
"0-0-7-150-258-46-1","0","0","0"
"0-0-2-148-258-536-1","0","0","0"
"0-0-1-147-258-1121-1","0","0","0"
"0-0-1-150-258-2338-1","0","0","0"
"0-0-1-152-258-675-1","0","0","0"
"0-0-5-152-258-1316-1","0","0","0"
"0-0-0-151-258-1829-1","0","0","0"
"0-0-2-149-258-716-1","0","0","0"
"0-0-1-147-258-240-1","0","0","0"
"0-0-0-148-258-4805-1","0","0","0"
"0-0-1-148-258-420-1","0","0","0"
"0-0-1-149-258-1944-1","0","0","0"
"0-0-4-151-258-45-1","0","0","0"
"0-0-1-149-258-600-1","0","0","0"
"0-0-1-140-258-2312-1","0","0","0"
"0-0-0-149-258-5568-1","0","0","0"
"0-0-1-152-258-1661-1","0","0","0"
"0-0-0-152-258-1092-1","0","0","0"
"0-0-0-147-258-786-1","0","0","0"
"0-0-0-148-258-3967-1","0","0","0"
"0-0-9-147-258-25-1","0","0","0"
"0-0-9-153-258-770-1","0","0","0"
"0-0-1-144-258-3327-1","0","0","0"
"0-0-0-149-258-2558-1","0","0","0"
"0-0-0-145-258-2818-1","0","0","0"
"0-0-0-143-258-1157-1","0","0","0"
"0-0-0-146-258-5091-1","0","0","0"
"0-0-0-146-258-1409-1","0","0","0"
"0-0-1-144-258-2489-1","0","0","0"
"0-0-9-150-258-516-1","0","0","0"
"0-0-0-146-258-2081-1","0","0","0"
"0-0-8-153-258-1254-1","0","0","0"
"0-0-3-152-258-1767-1","0","0","0"
"0-0-1-147-258-1241-1","0","0","0"
"0-0-1-146-258-180-1","0","0","0"
"0-0-1-152-258-795-1","0","0","0"
"0-0-0-151-258-1949-1","0","0","0"
"0-0-1-147-258-360-1","0","0","0"
"0-0-1-148-258-540-1","0","0","0"
"0-0-1-153-258-1210-1","0","0","0"
"0-0-1-149-258-720-1","0","0","0"
"0-0-0-149-258-3516-1","0","0","0"
"0-0-1-144-258-6457-1","0","0","0"
"0-0-0-149-258-5688-1","0","0","0"
"0-0-0-145-258-5948-1","0","0","0"
"0-0-0-148-258-1915-1","0","0","0"
"0-0-0-151-258-8927-1","0","0","0"
"0-0-0-143-258-2115-1","0","0","0"
"0-0-1-144-258-106-1","0","0","0"
"0-0-1-141-258-810-1","0","0","0"
"0-0-0-149-258-2678-1","0","0","0"
"0-0-1-150-258-8598-1","0","0","0"
"0-0-0-150-258-605-1","0","0","0"
"0-0-1-145-258-2038-1","0","0","0"
"0-0-0-146-258-1529-1","0","0","0"
"0-0-12-152-258-536-1","0","0","0"
"0-0-4-150-258-1633-1","0","0","0"
"0-0-3-150-258-1064-1","0","0","0"
"0-0-0-151-258-2907-1","0","0","0"
"0-0-1-147-258-480-1","0","0","0"
"0-0-1-148-258-660-1","0","0","0"
"0-0-1-151-258-1169-1","0","0","0"
"0-0-6-153-258-2888-1","0","0","0"
"0-0-1-149-258-840-1","0","0","0"
"0-0-7-147-258-38-1","0","0","0"
"0-0-0-149-258-21512-1","0","0","0"
"0-0-1-144-258-226-1","0","0","0"
"0-0-1-145-258-406-1","0","0","0"
"0-0-7-150-258-2980-1","0","0","0"
"0-0-0-149-258-2798-1","0","0","0"
"0-0-0-144-258-110-1","0","0","0"
"0-0-0-150-258-725-1","0","0","0"
"0-0-0-143-258-1397-1","0","0","0"
"0-0-0-151-258-905-1","0","0","0"
"0-0-1-149-258-36-1","0","0","0"
"0-0-1-150-258-3536-1","0","0","0"
"0-0-5-149-258-1959-1","0","0","0"
"0-0-1-151-258-4299-1","0","0","0"
"0-0-10-151-258-4311-1","0","0","0"
"0-0-1-143-258-27-1","0","0","0"
"0-0-1-148-258-780-1","0","0","0"
"0-0-1-149-258-960-1","0","0","0"
